fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
9.77,09-07-2023 13:24,-73.96122314,40.74247241,-74.00933694,40.75200402,1
7.45,10-07-2023 13:24,-73.96928748,40.77704286,-73.9733671,40.75220537,2
5.89,11-07-2023 13:24,-73.9566555,40.76391964,-73.97535027,40.76558325,4
5.75,12-07-2023 13:24,-73.98303984,40.75591951,-73.97899114,40.76902185,5
8.14,13-07-2023 13:24,-73.95636661,40.72936112,-73.97773773,40.74023173,3
9.87,14-07-2023 13:24,-73.95805355,40.72935967,-73.95938866,40.76809373,1
12.4,15-07-2023 13:24,-73.98369544,40.72348502,-73.9909878,40.76885254,5
10.84,16-07-2023 13:24,-73.9871314,40.77197057,-73.97698476,40.73404754,1
5.33,17-07-2023 13:24,-73.95403128,40.7560669,-73.96920314,40.76301704,3
11.74,18-07-2023 13:24,-73.96709012,40.76248435,-73.99741086,40.73119204,1
4.94,19-07-2023 13:24,-73.95430528,40.72123507,-73.95451084,40.72558295,3
7.46,20-07-2023 13:24,-73.96218151,40.77819459,-73.96577265,40.75447258,5
7.94,21-07-2023 13:24,-73.97344215,40.76994656,-74.00680228,40.77451913,4
9.65,22-07-2023 13:24,-74.00304883,40.73274035,-73.9580936,40.72212754,3
12.26,23-07-2023 13:24,-73.99251116,40.7309095,-73.95420779,40.7695901,4
6.92,24-07-2023 13:24,-73.95186946,40.73100427,-73.9623798,40.75038827,2
9.4,25-07-2023 13:24,-73.99083467,40.73825453,-73.98442652,40.77165373,5
12.08,26-07-2023 13:24,-74.00440471,40.75148539,-73.95033739,40.77060862,3
10.27,27-07-2023 13:24,-73.9675468,40.7459167,-74.00253385,40.77251721,5
9.16,28-07-2023 13:24,-73.96595974,40.73747375,-73.97780365,40.76613244,6
5.36,29-07-2023 13:24,-73.99287254,40.75671117,-73.99977655,40.77057954,4
5.27,30-07-2023 13:24,-73.99213968,40.72836963,-73.98363907,40.73056151,4
8.3,31-07-2023 13:24,-73.98186642,40.73752868,-73.95435454,40.73823119,5
11.28,01-08-2023 13:24,-74.00869266,40.74198171,-73.96234433,40.73454917,5
6.15,02-08-2023 13:24,-73.96264062,40.7473642,-73.96307508,40.7645457,6
10.44,03-08-2023 13:24,-73.99097467,40.76711056,-73.98876877,40.72921859,4
5.17,04-08-2023 13:24,-73.95877421,40.73198043,-73.95394379,40.73093367,6
8.5,05-08-2023 13:24,-73.96184217,40.75085407,-73.98790434,40.77273788,6
9.07,06-08-2023 13:24,-73.97031588,40.75554487,-74.00760159,40.76235293,5
13.88,07-08-2023 13:24,-73.99050751,40.72278702,-73.97173192,40.7725228,6
8.03,08-08-2023 13:24,-73.97902101,40.75645269,-73.98824114,40.72836132,4
6.31,09-08-2023 13:24,-73.98331024,40.73023145,-74.00077651,40.74393882,2
8.58,10-08-2023 13:24,-73.98966709,40.7239031,-73.95392052,40.73698907,4
14.22,11-08-2023 13:24,-73.95911182,40.77693313,-73.97176563,40.72058087,6
11.2,12-08-2023 13:24,-73.98098958,40.77793792,-73.95356822,40.73707138,1
8.68,13-08-2023 13:24,-73.96003661,40.76850384,-73.97502128,40.742775,4
5.26,14-08-2023 13:24,-74.00368689,40.73827683,-74.00616818,40.72553318,2
9.6,15-08-2023 13:24,-74.00153851,40.72586033,-74.00820357,40.75398925,4
6.95,16-08-2023 13:24,-73.95136078,40.76105398,-73.95596631,40.74299036,5
9.14,17-08-2023 13:24,-73.97473389,40.74640915,-74.00767632,40.7227877,6
10.09,18-08-2023 13:24,-73.97941382,40.72732229,-73.97308945,40.76223873,2
6.75,19-08-2023 13:24,-73.97861064,40.74971061,-73.99212145,40.76375679,3
13.04,20-08-2023 13:24,-73.99708387,40.72206331,-73.96874051,40.77006829,4
9.32,21-08-2023 13:24,-73.96687776,40.77455922,-73.99291665,40.74913244,5
12.5,22-08-2023 13:24,-74.00491316,40.7355268,-74.00776667,40.77811953,3
6.15,23-08-2023 13:24,-73.97560058,40.75975134,-73.96614969,40.77484385,3
7.37,24-08-2023 13:24,-73.97575387,40.73870266,-73.99134584,40.7530811,3
7.06,25-08-2023 13:24,-73.95514869,40.75120408,-73.97695206,40.74669712,1
9.87,26-08-2023 13:24,-73.97842903,40.75280262,-73.96356805,40.72018207,6
12.06,27-08-2023 13:24,-74.00177624,40.73109127,-73.9678306,40.76265967,5
9.02,28-08-2023 13:24,-73.9756348,40.77817508,-73.98908573,40.75389727,1
8.47,29-08-2023 13:24,-74.00452034,40.76650797,-73.9651304,40.77625265,5
10.81,30-08-2023 13:24,-73.99777237,40.77636994,-73.95445914,40.75565393,5
7.82,31-08-2023 13:24,-74.00813348,40.77368964,-73.97340152,40.77957137,6
6.4,01-09-2023 13:24,-73.97920239,40.755874,-73.96778964,40.77122916,2
9.7,02-09-2023 13:24,-74.00492804,40.77531245,-73.95804551,40.77721588,3
8.22,03-09-2023 13:24,-73.98183634,40.72530955,-73.95938156,40.73965977,4
8.02,04-09-2023 13:24,-73.9540233,40.73175897,-73.98890392,40.72896016,2
13.33,05-09-2023 13:24,-73.96681432,40.72271364,-73.95049796,40.76781233,4
8,06-09-2023 13:24,-74.0053553,40.73951982,-74.00828604,40.76717183,6
10.18,07-09-2023 13:24,-73.99654741,40.74332064,-73.95079755,40.73268694,3
